time,date,subj,trial,game_id,cellorder,upper_left,upper_right,lower_left,lower_right,pressedkey,chosen_cells,play
1353947169.774,"2012-11-26 16:26:17",002848,21,4112,1032,"[20, 70]","[50, 50]","[40, 40]","[70, 20]",right,"0,2",NULL
1353947177.223,"2012-11-26 16:26:35",002848,22,3053,0123,"[30, 30]","[60, 30]","[30, 60]","[20, 20]",left,"0,2",NULL
1353947195.375,"2012-11-26 16:26:49",002848,23,3041,2301,"[30, 60]","[40, 40]","[30, 30]","[60, 30]",right,"3,1",NULL
1353947209.208,"2012-11-26 16:27:01",002848,24,4102,2301,"[70, 40]","[40, 40]","[50, 50]","[40, 70]",left,"2,0",NULL
1353947221.931,"2012-11-26 16:27:11",002848,25,4073,2301,"[70, 60]","[40, 40]","[50, 50]","[60, 70]",left,"2,0",NULL
1353947231.727,"2012-11-26 16:27:23",002848,26,4122,3210,"[40, 40]","[50, 20]","[20, 50]","[50, 50]",right,"2,0",NULL
1353947243.308,"2012-11-26 16:27:34",002848,27,1122,1032,"[20, 30]","[50, 50]","[20, 20]","[30, 20]",right,"0,2",NULL
1353947254.148,"2012-11-26 16:27:42",002848,28,1134,0123,"[50, 50]","[20, 30]","[30, 20]","[40, 40]",left,"0,2",NULL
1353947262.638,"2012-11-26 16:27:57",002848,29,4154,3210,"[40, 40]","[10, 40]","[40, 10]","[50, 50]",left,"3,1",NULL
1353947277.328,"2012-11-26 16:29:33",002848,30,3063,1032,"[60, 30]","[30, 30]","[0, 0]","[30, 60]",right,"0,2",NULL
1353947373.259,"2012-11-26 16:29:43",002848,31,2083,2301,"[50, 60]","[40, 40]","[50, 50]","[60, 50]",right,"3,1",NULL
1353947383.141,"2012-11-26 16:29:53",002848,32,4053,0123,"[50, 50]","[80, 50]","[50, 80]","[40, 40]",left,"0,2",NULL
1353947393.165,"2012-11-26 16:29:58",002848,33,1102,0123,"[50, 50]","[40, 30]","[30, 40]","[0, 0]",left,"0,2",NULL
1353947398.916,"2012-11-26 16:30:13",002848,34,3134,2301,"[30, 60]","[40, 40]","[90, 90]","[60, 30]",left,"2,0",NULL
1353947413.46,"2012-11-26 16:30:20",002848,35,4031,3210,"[40, 40]","[10, 80]","[80, 10]","[50, 50]",left,"3,1",NULL
1353947420.559,"2012-11-26 16:30:34",002848,36,1053,3210,"[20, 20]","[30, 80]","[80, 30]","[50, 50]",right,"2,0",NULL
1353947434.798,"2012-11-26 16:30:46",002848,37,4063,2301,"[70, 80]","[40, 40]","[50, 50]","[80, 70]",right,"3,1",NULL
1353947446.738,"2012-11-26 16:30:54",002848,38,1164,0123,"[50, 50]","[40, 30]","[30, 40]","[40, 40]",left,"0,2",NULL
1353947455.07,"2012-11-26 16:31:02",002848,39,2164,2301,"[30, 60]","[40, 40]","[70, 70]","[60, 30]",left,"2,0",NULL
1353947462.935,"2012-11-26 16:32:28",002848,40,3021,3210,"[60, 60]","[30, 60]","[60, 30]","[50, 50]",left,"3,1",NULL
1353947548.911,"2012-11-26 16:32:35",002848,41,4021,1032,"[60, 10]","[50, 50]","[40, 40]","[10, 60]",left,"1,3",NULL
1353947555.476,"2012-11-26 16:32:46",002848,42,4011,0123,"[50, 50]","[60, 30]","[30, 60]","[40, 40]",right,"1,3",NULL
1353947566.59,"2012-11-26 16:32:55",002848,43,4134,3210,"[40, 40]","[30, 20]","[20, 30]","[50, 50]",right,"2,0",NULL
1353947575.897,"2012-11-26 16:33:03",002848,44,2041,0123,"[30, 30]","[60, 30]","[30, 60]","[40, 40]",right,"1,3",NULL
1353947583.205,"2012-11-26 16:33:12",002848,45,2144,0123,"[90, 90]","[60, 10]","[10, 60]","[40, 40]",right,"1,3",NULL
1353947592.96,"2012-11-26 16:33:20",002848,46,3031,0123,"[30, 30]","[60, 30]","[30, 60]","[60, 60]",right,"1,3",NULL
1353947600.559,"2012-11-26 16:33:31",002848,47,2102,1032,"[60, 70]","[70, 70]","[40, 40]","[70, 60]",right,"0,2",NULL
1353947611.166,"2012-11-26 16:33:42",002848,48,2031,3210,"[40, 40]","[10, 60]","[60, 10]","[30, 30]",left,"3,1",NULL
1353947622.189,"2012-11-26 16:33:52",002848,49,2092,1032,"[60, 50]","[70, 70]","[40, 40]","[50, 60]",right,"0,2",NULL
1353947632.506,"2012-11-26 16:35:00",002848,50,3083,3210,"[20, 20]","[30, 60]","[60, 30]","[50, 50]",right,"2,0",NULL
1353947701.058,"2012-11-26 16:35:09",002848,51,1154,1032,"[40, 30]","[50, 50]","[60, 60]","[30, 40]",left,"1,3",NULL
1353947709.248,"2012-11-26 16:35:15",002848,52,2134,1032,"[60, 30]","[90, 90]","[40, 40]","[30, 60]",right,"0,2",NULL
1353947715.647,"2012-11-26 16:35:23",002848,53,4164,1032,"[40, 30]","[50, 50]","[40, 40]","[30, 40]",right,"0,2",NULL
